case_id;date;start_of_week;start_of_month;translated_comments;sentiment;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-10252;2022-07-12;2022-07-10;2022-07-01;The phone agent was clueless about my account.;negative;chatbot;63;2;DETRACTOR;0;1;Grupo H,Grupo C,Grupo D,Grupo B,Grupo A;5;5;Grupo A;Balance Inquiry
CASE-12243;2023-09-12;2023-09-10;2023-09-01;The staff made transferring funds so easy and stress-free.;positive;email;602;5;PROMOTER;1;1;Grupo C,Grupo H,Grupo G;3;3;Grupo G;Card Issues
CASE-14225;2023-11-22;2023-11-19;2023-11-01;The phone team was amazing with my inquiry.;positive;chatbot;2;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Login Problems
CASE-16913;2022-03-02;2022-02-27;2022-03-01;The chatbot was fine, answered my balance query.;neutral;phone;26;4;PROMOTER;1;0;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-17815;2022-04-14;2022-04-10;2022-04-01;The email team provided a clear and quick solution.;positive;phone;17;4;PROMOTER;1;1;Grupo F,Grupo F;1;2;Grupo F;Balance Inquiry
CASE-16739;2024-01-08;2024-01-07;2024-01-01;The chatbot crashed during my transaction query.;negative;email;3583;2;DETRACTOR;0;0;Grupo I,Grupo I,Grupo A,Grupo E;3;4;Grupo E;Payment Issues
CASE-18693;2024-11-28;2024-11-24;2024-11-01;The phone team was alright, no big deal.;neutral;chatbot;9;3;DETRACTOR;1;1;Grupo B,Grupo D,Grupo E;3;3;Grupo E;Account Setup
CASE-14579;2024-11-16;2024-11-10;2024-11-01;I waited forever on the phone, and they didn’t help.;negative;phone;135;1;DETRACTOR;0;1;Grupo G,Grupo H,Grupo G,Grupo F;3;4;Grupo F;Login Problems
CASE-19341;2022-03-16;2022-03-13;2022-03-01;The chatbot helped me with my savings goal easily.;positive;chatbot;2;4;PROMOTER;1;1;Grupo I,Grupo F;2;2;Grupo F;Balance Inquiry
CASE-18432;2024-09-08;2024-09-08;2024-09-01;The chatbot assisted me, but it wasn’t quick.;neutral;phone;26;4;PROMOTER;1;0;Grupo I;1;1;Grupo I;Payment Issues
CASE-19094;2022-10-20;2022-10-16;2022-10-01;The support team over the phone was incredibly helpful.;positive;phone;6;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-12551;2022-12-05;2022-12-04;2022-12-01;Email support was decent, met expectations.;neutral;email;276;3;DETRACTOR;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-10299;2023-07-29;2023-07-23;2023-07-01;Phone support was average, met basic needs.;neutral;phone;16;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-16911;2022-01-07;2022-01-02;2022-01-01;The chatbot gave me wrong loan terms info.;negative;email;3418;2;DETRACTOR;0;0;Grupo B,Grupo J,Grupo I,Grupo E;4;4;Grupo E;Login Problems
CASE-14276;2022-01-24;2022-01-23;2022-01-01;The phone team was amazing with my inquiry.;positive;email;153;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-13764;2024-06-30;2024-06-30;2024-06-01;The chatbot gave me irrelevant answers every time.;negative;phone;97;2;DETRACTOR;0;0;Grupo D,Grupo J;2;2;Grupo J;Transaction Error
CASE-13723;2024-10-28;2024-10-27;2024-10-01;Email support made resolving my issue so easy.;positive;email;67;5;PROMOTER;1;1;Grupo I,Grupo G;2;2;Grupo G;Payment Issues
CASE-12558;2023-11-11;2023-11-05;2023-11-01;The email team helped me update my contact info effortlessly.;positive;email;172;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Fees Inquiry
CASE-17784;2022-02-25;2022-02-20;2022-02-01;Phone support handled my transfer request flawlessly.;positive;phone;5;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-10861;2022-08-14;2022-08-14;2022-08-01;Fantastic support over the phone, my issue was fixed in minutes.;positive;email;183;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-16004;2024-11-30;2024-11-24;2024-11-01;The service was slow, and my issue is still unresolved.;negative;email;3812;2;DETRACTOR;0;0;Grupo D,Grupo J;2;2;Grupo J;Balance Inquiry
CASE-12965;2024-07-22;2024-07-21;2024-07-01;The chatbot kept crashing when I needed help.;negative;email;2943;1;DETRACTOR;0;0;Grupo E,Grupo E,Grupo I,Grupo D;3;4;Grupo D;Payment Issues
CASE-13541;2025-02-19;2025-02-16;2025-02-01;The support team over the phone was incredibly helpful.;positive;phone;6;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Payment Issues
CASE-16812;2024-11-21;2024-11-17;2024-11-01;The chatbot crashed during my transaction query.;negative;chatbot;110;1;DETRACTOR;0;0;Grupo G,Grupo H,Grupo G,Grupo A;3;4;Grupo A;Fees Inquiry
CASE-14774;2022-08-22;2022-08-21;2022-08-01;The phone agent did their job, nothing more.;neutral;phone;25;4;PROMOTER;1;1;Grupo J,Grupo F,Grupo E;3;3;Grupo E;Payment Issues
CASE-10019;2023-10-27;2023-10-22;2023-10-01;The chatbot crashed when I asked about my loan.;negative;phone;56;1;DETRACTOR;0;0;Grupo C;1;1;Grupo C;Fees Inquiry
CASE-13109;2022-06-01;2022-05-29;2022-06-01;Email support was slow and totally useless.;negative;phone;38;1;DETRACTOR;0;0;Grupo B;1;1;Grupo B;Card Issues
CASE-19838;2023-07-10;2023-07-09;2023-07-01;The phone agent was alright, no big issues.;neutral;chatbot;7;3;DETRACTOR;1;0;Grupo A;1;1;Grupo A;General Inquiry
CASE-15320;2022-07-29;2022-07-24;2022-07-01;Email support was slow and totally useless.;negative;phone;82;2;DETRACTOR;0;0;Grupo I,Grupo A,Grupo F,Grupo F;3;4;Grupo F;Payment Issues
CASE-13939;2022-09-02;2022-08-28;2022-09-01;Email support was okay, could be better.;neutral;email;4183;3;DETRACTOR;0;0;Grupo B,Grupo D,Grupo G;3;3;Grupo G;Balance Inquiry
CASE-19230;2023-12-19;2023-12-17;2023-12-01;The chatbot gave me wrong loan terms info.;negative;phone;91;2;DETRACTOR;0;0;Grupo E,Grupo B,Grupo E,Grupo G;3;4;Grupo G;Login Problems
CASE-10802;2022-12-20;2022-12-18;2022-12-01;Phone support was slow and didn’t fix my card issue.;negative;email;2954;2;DETRACTOR;0;1;Grupo I,Grupo D,Grupo G,Grupo H;4;4;Grupo H;Payment Issues
CASE-16934;2024-08-18;2024-08-18;2024-08-01;The phone team was professional and handled my request well.;positive;chatbot;5;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-17339;2024-08-11;2024-08-11;2024-08-01;The email team replied, but it was just okay.;neutral;chatbot;7;3;DETRACTOR;1;0;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-17972;2024-12-14;2024-12-08;2024-12-01;The chatbot failed to reset my password correctly.;negative;phone;119;2;DETRACTOR;0;0;Grupo D,Grupo I;2;2;Grupo I;Payment Issues
CASE-13667;2024-07-25;2024-07-21;2024-07-01;The email team didn’t care about my problem.;negative;email;2280;1;DETRACTOR;0;0;Grupo E,Grupo I,Grupo D;3;3;Grupo D;Login Problems
CASE-17303;2024-02-27;2024-02-25;2024-02-01;The email team ignored my urgent request.;negative;phone;169;1;DETRACTOR;0;0;Grupo E,Grupo F,Grupo E,Grupo F;2;4;Grupo F;Card Issues
CASE-11651;2023-12-19;2023-12-17;2023-12-01;The email team provided a clear and quick solution.;positive;phone;15;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;General Inquiry
CASE-18502;2024-04-11;2024-04-07;2024-04-01;The phone agent was patient and solved my problem.;positive;email;123;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Login Problems
CASE-15612;2023-12-17;2023-12-17;2023-12-01;Email support was slow and totally useless.;negative;phone;46;1;DETRACTOR;0;0;Grupo J,Grupo F,Grupo B;3;3;Grupo B;Payment Issues
CASE-17131;2023-06-01;2023-05-28;2023-06-01;The chatbot quickly helped me reset my password.;positive;phone;39;5;PROMOTER;0;1;Grupo J,Grupo F,Grupo I;3;3;Grupo I;Login Problems
CASE-19661;2023-08-30;2023-08-27;2023-08-01;Email support was the worst, no effort at all.;negative;email;4068;1;DETRACTOR;0;0;Grupo H;1;1;Grupo H;Login Problems
CASE-16311;2024-01-22;2024-01-21;2024-01-01;The chatbot helped me with my savings goal easily.;positive;chatbot;5;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-16339;2023-02-02;2023-01-29;2023-02-01;The phone agent was fine, nothing standout.;neutral;email;263;3;DETRACTOR;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-16337;2024-03-12;2024-03-10;2024-03-01;The email response was late and full of errors.;negative;phone;64;2;DETRACTOR;0;0;Grupo G,Grupo A,Grupo C,Grupo E;4;4;Grupo E;Card Issues
CASE-12948;2024-06-07;2024-06-02;2024-06-01;Email support exceeded my expectations with their quick reply.;positive;chatbot;4;5;PROMOTER;1;0;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-19056;2022-11-19;2022-11-13;2022-11-01;Email support was reliable and resolved my concern.;positive;email;76;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-18953;2023-05-21;2023-05-21;2023-05-01;The support team over the phone was incredibly helpful.;positive;chatbot;1;5;PROMOTER;1;1;Grupo I,Grupo G;2;2;Grupo G;Balance Inquiry
CASE-17431;2023-02-12;2023-02-12;2023-02-01;Phone support was okay, nothing to rave about.;neutral;phone;31;3;DETRACTOR;0;0;Grupo D,Grupo F,Grupo E;3;3;Grupo E;Payment Issues
CASE-11557;2024-05-28;2024-05-26;2024-05-01;The chatbot helped me with my savings goal easily.;positive;phone;13;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-12399;2023-11-05;2023-11-05;2023-11-01;The phone agent was friendly and fixed my login issue.;positive;email;218;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-13788;2024-12-04;2024-12-01;2024-12-01;The phone support was okay, nothing special.;neutral;chatbot;13;4;PROMOTER;0;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-18188;2024-04-19;2024-04-14;2024-04-01;The support team over the phone was incredibly helpful.;positive;email;123;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Account Setup
CASE-13927;2023-04-24;2023-04-23;2023-04-01;The chatbot was decent with my card replacement.;neutral;chatbot;9;3;DETRACTOR;1;1;Grupo B,Grupo D,Grupo B,Grupo I;3;4;Grupo I;Login Problems
CASE-11640;2023-09-24;2023-09-24;2023-09-01;Phone support was efficient and solved my problem fast.;positive;chatbot;2;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-12465;2025-02-07;2025-02-02;2025-02-01;I love how efficient the phone support was today!;positive;email;126;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-12771;2023-04-12;2023-04-09;2023-04-01;The chatbot gave me incorrect balance info.;negative;phone;105;2;DETRACTOR;0;0;Grupo B,Grupo F,Grupo F;2;3;Grupo F;Account Setup
CASE-15584;2023-11-02;2023-10-29;2023-11-01;The email team solved my issue with a single reply.;positive;phone;19;4;PROMOTER;1;1;Grupo E,Grupo H;2;2;Grupo H;Balance Inquiry
CASE-19148;2024-07-09;2024-07-07;2024-07-01;The chatbot failed to help with my balance inquiry.;negative;chatbot;60;1;DETRACTOR;0;1;Grupo C,Grupo A;2;2;Grupo A;Fraud Report
CASE-18511;2022-12-01;2022-11-27;2022-12-01;The phone team made my experience so pleasant today.;positive;email;118;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Login Problems
CASE-11453;2024-07-19;2024-07-14;2024-07-01;The chatbot kept freezing during my inquiry.;negative;chatbot;28;1;DETRACTOR;0;0;Grupo J,Grupo I,Grupo B,Grupo H;4;4;Grupo H;Card Issues
CASE-11498;2023-03-01;2023-02-26;2023-03-01;Email support took a week to reply, ridiculous!;negative;email;2503;1;DETRACTOR;0;0;Grupo I,Grupo I;1;2;Grupo I;Transaction Error
CASE-16551;2024-09-23;2024-09-22;2024-09-01;The phone agent didn’t know basic banking info.;negative;chatbot;19;2;DETRACTOR;0;0;Grupo B,Grupo I;2;2;Grupo I;Login Problems
CASE-19784;2023-05-04;2023-04-30;2023-05-01;The email team solved my issue with a single reply.;positive;phone;5;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-16698;2023-01-06;2023-01-01;2023-01-01;Email support was fast and gave me all the info I needed.;positive;phone;29;4;PROMOTER;1;1;Grupo E,Grupo F,Grupo C;3;3;Grupo C;Card Issues
CASE-12996;2023-06-01;2023-05-28;2023-06-01;The phone agent didn’t even try to assist me.;negative;chatbot;66;1;DETRACTOR;0;0;Grupo J,Grupo H,Grupo C,Grupo E,Grupo J;4;5;Grupo J;Transaction Error
CASE-19000;2023-12-15;2023-12-10;2023-12-01;I waited forever on the phone, and they didn’t help.;negative;phone;138;2;DETRACTOR;0;0;Grupo E,Grupo H,Grupo A;3;3;Grupo A;Loan Inquiry
CASE-18575;2023-08-17;2023-08-13;2023-08-01;The chatbot answered my loan question in seconds.;positive;email;142;5;PROMOTER;1;1;Grupo G,Grupo B;2;2;Grupo B;Card Issues
CASE-15788;2023-10-18;2023-10-15;2023-10-01;The email team took too long to fix my login issue.;negative;chatbot;77;1;DETRACTOR;0;0;Grupo D,Grupo E,Grupo G;3;3;Grupo G;Card Issues
CASE-11081;2022-08-15;2022-08-14;2022-08-01;Email support ignored my complaint completely.;negative;phone;50;1;DETRACTOR;0;1;Grupo D,Grupo A,Grupo D;2;3;Grupo D;Card Issues
CASE-10766;2023-11-20;2023-11-19;2023-11-01;The chatbot answered my mortgage question accurately.;positive;email;196;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-15386;2022-06-22;2022-06-19;2022-06-01;The email team took days to reply with nothing useful.;negative;chatbot;41;2;DETRACTOR;0;1;Grupo D,Grupo C,Grupo F;3;3;Grupo F;Login Problems
CASE-18833;2024-02-21;2024-02-18;2024-02-01;The email response was spot on and very professional.;positive;chatbot;3;5;PROMOTER;1;0;Grupo E,Grupo I;2;2;Grupo I;Loan Inquiry
CASE-14525;2022-11-04;2022-10-30;2022-11-01;The chatbot helped me track my transaction effortlessly.;positive;email;208;4;PROMOTER;1;1;Grupo C,Grupo E,Grupo D;3;3;Grupo D;Account Setup
CASE-15662;2024-04-30;2024-04-28;2024-04-01;The phone agent explained everything in a friendly way.;positive;chatbot;1;4;PROMOTER;1;0;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-16220;2022-08-23;2022-08-21;2022-08-01;The chatbot helped me with my savings goal easily.;positive;email;167;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-14548;2024-10-08;2024-10-06;2024-10-01;Phone support was a nightmare, no help at all.;negative;phone;81;1;DETRACTOR;0;0;Grupo H,Grupo B;2;2;Grupo B;Payment Issues
CASE-11537;2023-08-11;2023-08-06;2023-08-01;The chatbot made checking my interest rates so simple.;positive;phone;5;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-12249;2024-09-29;2024-09-29;2024-09-01;The chatbot couldn’t handle my simple question.;negative;email;3136;1;DETRACTOR;0;0;Grupo I,Grupo D,Grupo J,Grupo E;4;4;Grupo E;Card Issues
CASE-19228;2022-12-30;2022-12-25;2022-12-01;The chatbot failed to reset my password correctly.;negative;phone;124;2;DETRACTOR;0;1;Grupo J,Grupo H,Grupo H;2;3;Grupo H;Fraud Report
CASE-19709;2022-05-17;2022-05-15;2022-05-01;Email support ignored my complaint completely.;negative;phone;53;1;DETRACTOR;0;1;Grupo E,Grupo J;2;2;Grupo J;Login Problems
CASE-11625;2025-01-29;2025-01-26;2025-01-01;The email team provided a clear and quick solution.;positive;phone;8;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-16443;2023-03-21;2023-03-19;2023-03-01;The email support team was efficient and friendly.;positive;email;123;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-12663;2022-09-30;2022-09-25;2022-09-01;The chatbot was a lifesaver when I needed to block my card.;positive;phone;14;4;PROMOTER;1;1;Grupo F,Grupo F,Grupo E;2;3;Grupo E;Loan Inquiry
CASE-19696;2023-12-17;2023-12-17;2023-12-01;The email team sent me a reply that made no sense.;negative;email;2281;2;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Login Problems
CASE-11152;2025-01-07;2025-01-05;2025-01-01;The email response was average, not bad.;neutral;chatbot;27;3;DETRACTOR;0;0;Grupo D,Grupo J;2;2;Grupo J;Balance Inquiry
CASE-11387;2022-12-05;2022-12-04;2022-12-01;Phone support was rude and disconnected me.;negative;chatbot;90;2;DETRACTOR;0;1;Grupo I,Grupo F,Grupo C;3;3;Grupo C;Transaction Error
CASE-14766;2025-02-02;2025-02-02;2025-02-01;The phone agent explained everything in a friendly way.;positive;email;136;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-19183;2025-02-04;2025-02-02;2025-02-01;Email support was rude and unprofessional.;negative;phone;221;1;DETRACTOR;0;1;Grupo C,Grupo I,Grupo E,Grupo F,Grupo G;5;5;Grupo G;Account Setup
CASE-16306;2022-09-06;2022-09-04;2022-09-01;The chatbot assisted me, but it wasn’t quick.;neutral;phone;29;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-17760;2022-02-23;2022-02-20;2022-02-01;The chatbot quickly helped me reset my password.;positive;email;144;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Account Setup
CASE-14920;2024-06-04;2024-06-02;2024-06-01;The email response was late and full of errors.;negative;chatbot;92;1;DETRACTOR;0;0;Grupo B,Grupo D,Grupo D,Grupo I,Grupo B;3;5;Grupo B;Card Issues
CASE-10044;2024-05-06;2024-05-05;2024-05-01;The chatbot failed to reset my password correctly.;negative;chatbot;124;1;DETRACTOR;0;0;Grupo D,Grupo J,Grupo I,Grupo H,Grupo B;5;5;Grupo B;Card Issues
CASE-12221;2023-09-22;2023-09-17;2023-09-01;The email response was thorough and resolved my question.;positive;phone;12;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-16665;2022-09-04;2022-09-04;2022-09-01;The chatbot made my experience so convenient!;positive;email;214;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-10466;2023-07-29;2023-07-23;2023-07-01;The chatbot gave me wrong payment instructions.;negative;phone;130;1;DETRACTOR;0;1;Grupo J,Grupo G,Grupo C;3;3;Grupo C;Fees Inquiry
CASE-15125;2024-03-27;2024-03-24;2024-03-01;The phone agent was clueless about my account.;negative;chatbot;39;2;DETRACTOR;0;1;Grupo A,Grupo C,Grupo E,Grupo F;4;4;Grupo F;Login Problems
CASE-13685;2023-01-20;2023-01-15;2023-01-01;The chatbot made resetting my PIN so simple.;positive;chatbot;4;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Fees Inquiry
CASE-12277;2022-11-07;2022-11-06;2022-11-01;Phone support handled my transfer request flawlessly.;positive;chatbot;1;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Card Issues
CASE-16279;2024-10-13;2024-10-13;2024-10-01;Email support made resolving my issue so easy.;positive;chatbot;1;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Transaction Error
CASE-14679;2022-07-08;2022-07-03;2022-07-01;Email support was slow and didn’t solve anything.;negative;chatbot;75;2;DETRACTOR;0;0;Grupo E,Grupo C,Grupo A;3;3;Grupo A;Fraud Report
CASE-16266;2024-06-06;2024-06-02;2024-06-01;Email support was polite and answered all my questions.;positive;email;203;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Loan Inquiry
CASE-15407;2023-06-10;2023-06-04;2023-06-01;Email support made resolving my issue so easy.;positive;phone;13;5;PROMOTER;1;1;Grupo G,Grupo A;2;2;Grupo A;Account Setup
CASE-10621;2024-09-18;2024-09-15;2024-09-01;Email support was spot on, they fixed my login problem quickly.;positive;chatbot;10;4;PROMOTER;1;1;Grupo C,Grupo E,Grupo H;3;3;Grupo H;Loan Inquiry
CASE-16767;2022-06-02;2022-05-29;2022-06-01;The phone team was unprofessional and unhelpful.;negative;chatbot;61;2;DETRACTOR;0;0;Grupo C,Grupo J,Grupo F,Grupo I,Grupo B;5;5;Grupo B;Login Problems
CASE-10661;2025-01-12;2025-01-12;2025-01-01;The chatbot was a lifesaver when I needed to block my card.;positive;chatbot;1;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Login Problems
CASE-15698;2023-08-18;2023-08-13;2023-08-01;The phone agent helped me with my rewards program.;positive;phone;6;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-14110;2024-12-24;2024-12-22;2024-12-01;The chatbot was quick to assist with my transfer request.;positive;email;79;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-15624;2025-02-21;2025-02-16;2025-02-01;Phone support was friendly and resolved my concern.;positive;chatbot;2;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Card Issues
CASE-12247;2024-01-02;2023-12-31;2024-01-01;The chatbot made checking my interest rates so simple.;positive;email;226;4;PROMOTER;1;1;Grupo G,Grupo C;2;2;Grupo C;Account Setup
CASE-19072;2024-08-17;2024-08-11;2024-08-01;The phone team made me wait and then hung up.;negative;chatbot;56;2;DETRACTOR;0;0;Grupo D,Grupo I,Grupo G,Grupo J;4;4;Grupo J;Transaction Error
CASE-18958;2024-11-11;2024-11-10;2024-11-01;The chatbot assisted with my bill payment perfectly.;positive;phone;10;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;General Inquiry
CASE-15179;2023-05-16;2023-05-14;2023-05-01;The chatbot couldn’t assist with my statement.;negative;phone;160;2;DETRACTOR;0;0;Grupo E,Grupo E,Grupo I;2;3;Grupo I;Transaction Error
CASE-14583;2024-11-16;2024-11-10;2024-11-01;The chatbot quickly helped me reset my password.;positive;phone;9;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-12964;2024-12-01;2024-12-01;2024-12-01;I had a horrible experience with the phone support.;negative;chatbot;18;1;DETRACTOR;0;1;Grupo I,Grupo G,Grupo G;2;3;Grupo G;Transaction Error
CASE-14911;2022-03-24;2022-03-20;2022-03-01;The chatbot crashed during my transaction query.;negative;email;3410;2;DETRACTOR;0;1;Grupo H,Grupo D,Grupo D,Grupo J;3;4;Grupo J;Fraud Report
CASE-13416;2024-07-23;2024-07-21;2024-07-01;Phone support was outstanding and very helpful.;positive;email;237;5;PROMOTER;1;0;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-11620;2022-04-12;2022-04-10;2022-04-01;The chatbot made my experience so convenient!;positive;phone;9;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;General Inquiry
CASE-19166;2023-02-16;2023-02-12;2023-02-01;The chatbot handled my balance inquiry like a pro.;positive;chatbot;2;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;General Inquiry
CASE-17732;2022-11-05;2022-10-30;2022-11-01;Phone support was outstanding and very helpful.;positive;email;707;5;PROMOTER;1;1;Grupo G,Grupo I,Grupo D;3;3;Grupo D;General Inquiry
CASE-15989;2025-02-27;2025-02-23;2025-02-01;The email response was vague and frustrating.;negative;chatbot;78;1;DETRACTOR;0;0;Grupo J,Grupo G,Grupo G;2;3;Grupo G;Fees Inquiry
CASE-14339;2024-01-20;2024-01-14;2024-01-01;The email team responded promptly and solved my issue.;positive;phone;11;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-19598;2023-06-26;2023-06-25;2023-06-01;Phone support handled my transfer request flawlessly.;positive;email;174;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Account Setup
