case_id;date;start_of_week;start_of_month;translated_comments;sentiment;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-28818;2022-03-26;2022-03-20;2022-03-01;The chatbot couldn’t reset my PIN properly.;negative;email;3803;1;DETRACTOR;0;0;Grupo F,Grupo G,Grupo D,Grupo E,Grupo G;4;5;Grupo G;Transaction Error
CASE-16248;2023-02-15;2023-02-12;2023-02-01;The email team took days to reply with nothing useful.;negative;phone;43;2;DETRACTOR;0;0;Grupo B,Grupo E,Grupo E;2;3;Grupo E;Payment Issues
CASE-25041;2024-03-19;2024-03-17;2024-03-01;Email support was reliable and resolved my concern.;positive;email;107;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Account Setup
CASE-22371;2024-09-27;2024-09-22;2024-09-01;I’m impressed with how fast my loan application was processed.;positive;email;216;4;PROMOTER;1;0;Grupo G;1;1;Grupo G;Transaction Error
CASE-15790;2023-06-28;2023-06-25;2023-06-01;Email support was the worst, no effort at all.;negative;email;2947;1;DETRACTOR;0;1;Grupo E,Grupo H,Grupo J,Grupo I;4;4;Grupo I;Account Setup
CASE-20069;2025-02-03;2025-02-02;2025-02-01;The chatbot was quick to assist with my card issue.;positive;phone;10;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Loan Inquiry
CASE-26655;2025-01-01;2024-12-29;2025-01-01;The chatbot crashed when I asked about my loan.;negative;email;2597;2;DETRACTOR;0;1;Grupo E,Grupo I,Grupo I,Grupo D,Grupo E;3;5;Grupo E;Card Issues
CASE-25187;2022-05-06;2022-05-01;2022-05-01;The email team took days to reply with nothing useful.;negative;chatbot;90;1;DETRACTOR;0;0;Grupo A,Grupo D,Grupo G,Grupo B;4;4;Grupo B;Fraud Report
CASE-21650;2025-02-21;2025-02-16;2025-02-01;The phone agent fixed my issue with a great attitude.;positive;phone;11;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-26208;2025-02-13;2025-02-09;2025-02-01;The chatbot helped me, but it wasn’t fast.;neutral;chatbot;23;3;DETRACTOR;0;1;Grupo J,Grupo J,Grupo C;2;3;Grupo C;Fees Inquiry
CASE-20674;2023-09-13;2023-09-10;2023-09-01;The chatbot made resetting my PIN so simple.;positive;chatbot;6;4;PROMOTER;1;1;Grupo D,Grupo C;2;2;Grupo C;Payment Issues
CASE-20901;2024-06-13;2024-06-09;2024-06-01;The email response was sloppy and unclear.;negative;chatbot;25;1;DETRACTOR;0;0;Grupo D,Grupo G;2;2;Grupo G;Card Issues
CASE-24100;2023-06-28;2023-06-25;2023-06-01;Email support was polite and answered all my questions.;positive;chatbot;1;4;PROMOTER;1;1;Grupo A,Grupo G,Grupo D;3;3;Grupo D;Fees Inquiry
CASE-21819;2022-03-21;2022-03-20;2022-03-01;I had a wonderful experience opening my account via phone.;positive;phone;28;4;PROMOTER;1;1;Grupo H,Grupo D;2;2;Grupo D;General Inquiry
CASE-18126;2024-03-25;2024-03-24;2024-03-01;The phone team made banking so easy for me.;positive;chatbot;1;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Account Setup
CASE-27993;2025-02-12;2025-02-09;2025-02-01;The phone agent explained everything in a friendly way.;positive;phone;17;5;PROMOTER;1;1;Grupo I,Grupo H;2;2;Grupo H;General Inquiry
CASE-21018;2024-05-04;2024-04-28;2024-05-01;Phone support was standard, no complaints.;neutral;phone;57;3;DETRACTOR;0;1;Grupo J,Grupo I;2;2;Grupo I;Transaction Error
CASE-15337;2024-12-27;2024-12-22;2024-12-01;Email support was spot on, they fixed my login problem quickly.;positive;chatbot;5;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-24775;2023-02-26;2023-02-26;2023-02-01;The chatbot was quick to assist with my transfer request.;positive;chatbot;4;4;PROMOTER;1;1;Grupo G,Grupo B,Grupo B;2;3;Grupo B;Fees Inquiry
CASE-20200;2022-06-09;2022-06-05;2022-06-01;The chatbot answered my question, but it took a while.;neutral;chatbot;13;4;PROMOTER;0;1;Grupo D;1;1;Grupo D;General Inquiry
CASE-20184;2023-06-18;2023-06-18;2023-06-01;The chatbot helped me check my balance instantly, love it!;positive;phone;15;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Card Issues
CASE-23177;2023-11-22;2023-11-19;2023-11-01;The chatbot kept freezing during my inquiry.;negative;email;3288;2;DETRACTOR;0;0;Grupo I,Grupo F,Grupo D,Grupo B;4;4;Grupo B;Card Issues
CASE-21406;2022-03-08;2022-03-06;2022-03-01;Email support exceeded my expectations with their quick reply.;positive;phone;10;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-29480;2023-01-29;2023-01-29;2023-01-01;The email team provided excellent service, I’m happy!;positive;chatbot;7;4;PROMOTER;1;1;Grupo B,Grupo B;1;2;Grupo B;Loan Inquiry
CASE-29172;2024-05-28;2024-05-26;2024-05-01;The email response was decent, not great.;neutral;chatbot;6;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-27227;2022-05-09;2022-05-08;2022-05-01;The chatbot made checking my rewards so simple.;positive;phone;11;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Loan Inquiry
CASE-27994;2023-07-12;2023-07-09;2023-07-01;The phone representative was unhelpful and impatient.;negative;phone;117;1;DETRACTOR;0;0;Grupo I,Grupo F,Grupo A,Grupo F;3;4;Grupo F;Card Issues
CASE-29427;2024-07-02;2024-06-30;2024-07-01;Phone support was standard, nothing exciting.;neutral;phone;23;3;DETRACTOR;1;0;Grupo E;1;1;Grupo E;Fraud Report
CASE-27115;2023-02-01;2023-01-29;2023-02-01;The chatbot helped me with my account balance quickly.;positive;phone;12;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-21431;2022-11-14;2022-11-13;2022-11-01;Phone support was friendly and resolved my concern.;positive;email;196;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-22662;2025-02-15;2025-02-09;2025-02-01;The phone agent didn’t care about my complaint.;negative;chatbot;23;1;DETRACTOR;0;0;Grupo J,Grupo J,Grupo C,Grupo D;3;4;Grupo D;Fees Inquiry
CASE-29856;2024-03-09;2024-03-03;2024-03-01;The email response was clear and solved my problem.;positive;phone;13;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-27314;2023-11-21;2023-11-19;2023-11-01;Email support was okay, not impressive.;neutral;chatbot;13;3;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-28847;2022-10-18;2022-10-16;2022-10-01;The chatbot guided me through my account options easily.;positive;chatbot;6;5;PROMOTER;1;1;Grupo D,Grupo H,Grupo J;3;3;Grupo J;Fees Inquiry
CASE-21444;2023-10-25;2023-10-22;2023-10-01;The chatbot explained my fees so clearly, I’m impressed!;positive;chatbot;4;4;PROMOTER;1;1;Grupo G,Grupo B;2;2;Grupo B;Login Problems
CASE-23988;2022-05-07;2022-05-01;2022-05-01;The chatbot explained my fees so clearly, I’m impressed!;positive;phone;11;4;PROMOTER;1;1;Grupo G,Grupo E;2;2;Grupo E;Balance Inquiry
CASE-26217;2025-02-13;2025-02-09;2025-02-01;The phone agent was unhelpful with my fees.;negative;chatbot;74;2;DETRACTOR;0;0;Grupo J,Grupo H,Grupo H,Grupo J;2;4;Grupo J;Payment Issues
CASE-21181;2023-01-06;2023-01-01;2023-01-01;Email support was rude and unprofessional.;negative;email;2638;2;DETRACTOR;0;0;Grupo I;1;1;Grupo I;Transaction Error
CASE-29897;2025-01-31;2025-01-26;2025-01-01;The chatbot couldn’t assist with my statement.;negative;email;3781;1;DETRACTOR;0;0;Grupo A,Grupo H,Grupo I,Grupo G;4;4;Grupo G;Loan Inquiry
CASE-17276;2025-02-07;2025-02-02;2025-02-01;The agent was knowledgeable and made me feel valued.;positive;email;186;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Payment Issues
CASE-20670;2024-11-14;2024-11-10;2024-11-01;Email support made resolving my issue so easy.;positive;email;179;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-25395;2024-04-12;2024-04-07;2024-04-01;The chatbot gave me accurate info about my account in seconds.;positive;chatbot;1;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Login Problems
CASE-17076;2024-06-26;2024-06-23;2024-06-01;The phone team resolved my overdraft issue professionally.;positive;email;76;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Loan Inquiry
CASE-26386;2022-06-17;2022-06-12;2022-06-01;The chatbot was alright with my account setup.;neutral;chatbot;15;4;PROMOTER;0;0;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-15642;2023-07-12;2023-07-09;2023-07-01;Email support was the worst, no effort at all.;negative;chatbot;64;2;DETRACTOR;0;0;Grupo H,Grupo B,Grupo I;3;3;Grupo I;Fraud Report
CASE-24448;2023-11-03;2023-10-29;2023-11-01;The phone team was rude and hung up on me.;negative;chatbot;86;2;DETRACTOR;0;0;Grupo F,Grupo I,Grupo C;3;3;Grupo C;Payment Issues
CASE-29038;2024-09-04;2024-09-01;2024-09-01;The chatbot handled my balance check, but it was slow.;neutral;phone;44;3;DETRACTOR;0;0;Grupo H,Grupo I,Grupo A;3;3;Grupo A;Balance Inquiry
CASE-17938;2022-09-02;2022-08-28;2022-09-01;Email support made resolving my issue so easy.;positive;chatbot;1;5;PROMOTER;1;1;Grupo A,Grupo B;2;2;Grupo B;Payment Issues
CASE-22252;2022-08-26;2022-08-21;2022-08-01;Phone support was average, met basic needs.;neutral;email;2264;3;DETRACTOR;0;0;Grupo C,Grupo E;2;2;Grupo E;Balance Inquiry
CASE-23354;2023-08-18;2023-08-13;2023-08-01;The chatbot kept looping with no solution.;negative;phone;59;1;DETRACTOR;0;0;Grupo B,Grupo H,Grupo F;3;3;Grupo F;Loan Inquiry
CASE-21837;2022-08-03;2022-07-31;2022-08-01;Email support was rude and unprofessional.;negative;phone;155;2;DETRACTOR;0;0;Grupo C,Grupo D,Grupo H;3;3;Grupo H;Payment Issues
CASE-27578;2022-11-23;2022-11-20;2022-11-01;Phone support was slow and didn’t fix my card issue.;negative;phone;207;1;DETRACTOR;0;0;Grupo G,Grupo B,Grupo F,Grupo I;4;4;Grupo I;Transaction Error
CASE-28828;2023-04-29;2023-04-23;2023-04-01;The agent on the phone explained my mortgage options clearly.;positive;email;272;5;PROMOTER;1;1;Grupo I,Grupo D;2;2;Grupo D;Login Problems
CASE-18524;2022-03-17;2022-03-13;2022-03-01;The chatbot made banking so convenient, I love it!;positive;email;68;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-15924;2022-05-19;2022-05-15;2022-05-01;The call center staff was patient and resolved my payment issue.;positive;email;125;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-20894;2025-02-22;2025-02-16;2025-02-01;The chatbot helped me with my savings goal easily.;positive;chatbot;1;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Payment Issues
CASE-20359;2023-02-23;2023-02-19;2023-02-01;The chatbot was quick to assist with my payment query.;positive;phone;5;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Transaction Error
CASE-17841;2023-02-09;2023-02-05;2023-02-01;Phone support was outstanding, they deserve praise!;positive;phone;8;5;PROMOTER;1;1;Grupo C,Grupo F;2;2;Grupo F;Loan Inquiry
CASE-29558;2024-04-14;2024-04-14;2024-04-01;Email support was slow and totally useless.;negative;email;3607;1;DETRACTOR;0;0;Grupo C,Grupo B,Grupo F,Grupo B;3;4;Grupo B;Payment Issues
CASE-29053;2024-10-29;2024-10-27;2024-10-01;The email team didn’t address my issue at all.;negative;phone;220;2;DETRACTOR;0;0;Grupo G,Grupo H,Grupo A,Grupo I;4;4;Grupo I;Card Issues
CASE-16563;2022-01-14;2022-01-09;2022-01-01;The support team over the phone was incredibly helpful.;positive;email;132;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Account Setup
CASE-20940;2025-01-22;2025-01-19;2025-01-01;Email support was okay, not very detailed.;neutral;chatbot;10;3;DETRACTOR;1;0;Grupo D,Grupo I,Grupo J;3;3;Grupo J;Card Issues
CASE-19145;2022-05-27;2022-05-22;2022-05-01;Phone support was standard, no complaints.;neutral;email;1056;4;PROMOTER;1;0;Grupo E;1;1;Grupo E;Card Issues
CASE-16745;2023-12-13;2023-12-10;2023-12-01;The chatbot was quick to assist with my payment query.;positive;phone;6;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;General Inquiry
CASE-29811;2023-11-05;2023-11-05;2023-11-01;The email team provided excellent service, I’m happy!;positive;chatbot;3;4;PROMOTER;1;0;Grupo J;1;1;Grupo J;Payment Issues
CASE-23340;2023-01-02;2023-01-01;2023-01-01;The phone agent fixed my issue with a great attitude.;positive;email;181;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-16850;2022-11-28;2022-11-27;2022-11-01;Email support was reliable and resolved my concern.;positive;phone;6;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Transaction Error
CASE-29454;2023-05-02;2023-04-30;2023-05-01;The email response was late and full of errors.;negative;email;4086;2;DETRACTOR;0;0;Grupo B,Grupo E,Grupo A;3;3;Grupo A;Card Issues
CASE-18921;2024-01-03;2023-12-31;2024-01-01;The phone agent was friendly and fixed my login issue.;positive;chatbot;2;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Transaction Error
CASE-15521;2024-05-08;2024-05-05;2024-05-01;The phone team made me wait and then hung up.;negative;email;2637;1;DETRACTOR;0;1;Grupo D,Grupo C,Grupo B;3;3;Grupo B;Login Problems
CASE-16114;2022-08-26;2022-08-21;2022-08-01;Email support was terrible, they ignored me.;negative;phone;95;1;DETRACTOR;0;0;Grupo C,Grupo A,Grupo G;3;3;Grupo G;Transaction Error
CASE-21699;2023-11-13;2023-11-12;2023-11-01;The chatbot helped me track my transaction effortlessly.;positive;chatbot;1;5;PROMOTER;1;0;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-22432;2024-10-09;2024-10-06;2024-10-01;The chatbot crashed during my payment request.;negative;chatbot;84;1;DETRACTOR;0;0;Grupo C,Grupo A,Grupo I,Grupo C;3;4;Grupo C;Transaction Error
CASE-20929;2022-12-11;2022-12-11;2022-12-01;The chatbot was decent with my card replacement.;neutral;phone;24;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-21425;2022-04-04;2022-04-03;2022-04-01;The chatbot assisted with my bill payment perfectly.;positive;phone;11;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-18092;2022-04-28;2022-04-24;2022-04-01;I love how efficient the phone support was today!;positive;chatbot;3;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Transaction Error
CASE-22908;2022-03-25;2022-03-20;2022-03-01;Email support took days to reply, terrible service!;negative;phone;121;1;DETRACTOR;0;0;Grupo C,Grupo J,Grupo D,Grupo A;4;4;Grupo A;Card Issues
CASE-19728;2022-08-31;2022-08-28;2022-08-01;The email team was okay, response was basic.;neutral;phone;20;3;DETRACTOR;1;0;Grupo J,Grupo C,Grupo A;3;3;Grupo A;Login Problems
CASE-28264;2022-06-10;2022-06-05;2022-06-01;The email team didn’t address my issue at all.;negative;chatbot;60;1;DETRACTOR;0;0;Grupo E,Grupo D;2;2;Grupo D;Payment Issues
CASE-23548;2024-08-19;2024-08-18;2024-08-01;The email team took forever and didn’t help.;negative;email;2299;1;DETRACTOR;0;0;Grupo J;1;1;Grupo J;Card Issues
CASE-22639;2023-10-30;2023-10-29;2023-10-01;The support team over the phone was incredibly helpful.;positive;phone;12;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-24890;2024-04-18;2024-04-14;2024-04-01;I love how efficient the phone support was today!;positive;email;123;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Transaction Error
CASE-28148;2024-10-23;2024-10-20;2024-10-01;The phone representative was unhelpful and impatient.;negative;email;1946;1;DETRACTOR;0;1;Grupo F;1;1;Grupo F;Card Issues
CASE-29252;2023-01-03;2023-01-01;2023-01-01;The chatbot couldn’t assist with my statement.;negative;email;3097;2;DETRACTOR;0;0;Grupo A,Grupo F,Grupo J;3;3;Grupo J;Transaction Error
CASE-23212;2023-10-02;2023-10-01;2023-10-01;The chatbot failed to answer my mortgage question.;negative;phone;210;1;DETRACTOR;0;0;Grupo J,Grupo H,Grupo G,Grupo F;4;4;Grupo F;Transaction Error
CASE-15853;2022-11-14;2022-11-13;2022-11-01;The service was top-notch, I’m so happy with this bank!;positive;email;210;5;PROMOTER;1;1;Grupo H,Grupo D,Grupo B;3;3;Grupo B;Login Problems
CASE-19781;2023-02-11;2023-02-05;2023-02-01;Phone support was efficient and solved my problem fast.;positive;phone;5;4;PROMOTER;1;0;Grupo H,Grupo B;2;2;Grupo B;Account Setup
CASE-28585;2024-09-26;2024-09-22;2024-09-01;I love how efficient the phone support was today!;positive;phone;11;4;PROMOTER;1;1;Grupo B,Grupo D;2;2;Grupo D;Account Setup
CASE-19245;2022-12-05;2022-12-04;2022-12-01;The email response was vague and unhelpful.;negative;phone;140;2;DETRACTOR;0;0;Grupo J,Grupo J,Grupo F,Grupo G;3;4;Grupo G;Card Issues
CASE-20993;2022-08-18;2022-08-14;2022-08-01;The chatbot was a lifesaver when I needed to block my card.;positive;phone;29;5;PROMOTER;1;1;Grupo J,Grupo D,Grupo H;3;3;Grupo H;Payment Issues
CASE-22179;2022-06-21;2022-06-19;2022-06-01;The chatbot kept freezing during my inquiry.;negative;email;4025;2;DETRACTOR;0;1;Grupo H,Grupo A;2;2;Grupo A;Transaction Error
CASE-19114;2024-09-23;2024-09-22;2024-09-01;The phone team was neutral, solved my query.;neutral;email;872;3;DETRACTOR;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-25287;2022-07-04;2022-07-03;2022-07-01;The phone agent was impatient and rude.;negative;chatbot;24;2;DETRACTOR;0;0;Grupo I;1;1;Grupo I;General Inquiry
CASE-27788;2022-07-12;2022-07-10;2022-07-01;Email support was average, nothing special.;neutral;email;4066;4;PROMOTER;0;1;Grupo A,Grupo B,Grupo A;2;3;Grupo A;Fraud Report
CASE-17403;2024-06-17;2024-06-16;2024-06-01;The email response was clear and solved my problem.;positive;email;107;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-21270;2024-12-19;2024-12-15;2024-12-01;The email response was vague and unhelpful.;negative;email;3343;2;DETRACTOR;0;0;Grupo D,Grupo E,Grupo J;3;3;Grupo J;Card Issues
